113,제주특별자치도 서귀포시 표선면 번영로 2650,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,성읍랜드,POINT (126.7971235 33.3726822),4.5
114,제주특별자치도 서귀포시 남원읍 남조로 1105,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,주식회사더클래식씨씨그늘집1,POINT (126.6799654 33.3706144),4.5
115,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,아줄레주,POINT (126.8395566 33.3643757),4.5
116,제주특별자치도 서귀포시 남원읍 원님로399번길 319,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,모꼬지,POINT (126.72564 33.3601625),4.5
117,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,레이크,POINT (126.7718183 33.3535346),4.5
118,제주특별자치도 서귀포시 표선면 중산간동로5220번길 47,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,구면카페,POINT (126.7663005 33.3515083),4.5
119,제주특별자치도 서귀포시 표선면 가시로 340 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,카페샤인,POINT (126.7895359 33.3456001),4.5
120,제주특별자치도 서귀포시 성산읍 신천동로 24-30 1 2층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,비욘드북카페,POINT (126.8541536 33.34543),4.5
121,제주특별자치도 서귀포시 표선면 표선중앙로 8-4,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,맘스터치표선점,POINT (126.8289703 33.3318834),4.5
122,제주특별자치도 서귀포시 표선면 표선동서로 324-18,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,카페희상,POINT (126.838304 33.3299649),4.5
123,제주특별자치도 서귀포시 표선면 표선동서로 324-18,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,표선카라반,POINT (126.838304 33.3299649),4.5
124,제주특별자치도 서귀포시 표선면 표선중앙로 34,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,씨유제주표선중앙점,POINT (126.8302818 33.3296299),4.5
125,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,광평교푸드트럭,POINT (126.3567077 33.3294189),4.5
126,제주특별자치도 서귀포시 표선면 표선동서로 261,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,금빛다방,POINT (126.8337289 33.3271865),4.5
127,제주특별자치도 서귀포시 표선면 표선동서로 264 2층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,용용다방,POINT (126.8348562 33.3270768),4.5
128,제주특별자치도 서귀포시 표선면 표선중앙로 68,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,아마니타,POINT (126.8317896 33.3269897),4.5
129,제주특별자치도 서귀포시 표선면 표선백사로 127 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,롯데리아제주표선해변점,POINT (126.8366934 33.3267724),4.5
130,제주특별자치도 서귀포시 표선면 표선중앙로 75 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,밥말리,POINT (126.8324236 33.3266458),4.5
131,제주특별자치도 서귀포시 표선면 표선동서로 255,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,향찻집,POINT (126.8331331 33.3265182),4.5
132,제주특별자치도 서귀포시 표선면 표선동서로 255,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,춘자싸롱멸치국수,POINT (126.8331331 33.3265182),4.5
133,제주특별자치도 서귀포시 표선면 표선백사로 123,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,네잎크로바,POINT (126.8366249 33.3264274),4.5
134,제주특별자치도 서귀포시 표선면 표선중앙로 76,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,곰다방,POINT (126.8322772 33.3264263),4.5
135,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,탐라포장마차,POINT (126.4716831 33.326215),4.5
136,제주특별자치도 서귀포시 표선면 중산간동로5570번길 9,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,그림상회,POINT (126.7650106 33.3262139),4.5
137,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,유성다방,POINT (126.8325393 33.326023),4.5
138,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,표선순대,POINT (126.8325393 33.326023),4.5
139,제주특별자치도 서귀포시 표선면 표선중앙로80번길 9,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,가름다방,POINT (126.8317849 33.3258978),4.5
